name,rid,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Veramin,24162,Valid,Mesosiderite-B2,54000,Fell,1880,35.333330,51.633330,"(35.33333, 51.63333)"
Chihuahua City,5350,Valid,"Iron, IC",54000,Found,1929,28.666670,-106.116670,"(28.66667, -106.11667)"
Dunganville,7748,Valid,"Iron, IIIAB",54000,Found,1976,-42.550000,171.350000,"(-42.55, 171.35)"
Uwet,24138,Valid,"Iron, IIAB",54000,Found,1903,5.283330,8.250000,"(5.28333, 8.25)"
Markovka,15427,Valid,H4,54200,Found,1967,52.400000,79.800000,"(52.4, 79.8)"
Aprel'sky,2319,Valid,"Iron, IIIAB",54600,Found,1969,53.300000,126.116670,"(53.3, 126.11667)"
Elenovka,7824,Valid,L5,54640,Fell,1951,47.833330,37.666670,"(47.83333, 37.66667)"
Rosebud,22767,Valid,H5,54900,Found,1915,30.816670,-97.050000,"(30.81667, -97.05)"
Wellman (a),24237,Valid,H5,55000,Found,1940,33.033330,-102.333330,"(33.03333, -102.33333)"
Kulnine,12372,Valid,L6,55300,Found,1886,-34.150000,141.783330,"(-34.15, 141.78333)"
Ashmore,2349,Valid,H5,55400,Found,1969,32.900000,-102.283330,"(32.9, -102.28333)"
Jenkins,12080,Valid,"Iron, IAB-MG",55400,Found,1946,36.824440,-93.761110,"(36.82444, -93.76111)"
Farmville,10075,Valid,H4,56000,Fell,1934,35.550000,-77.533330,"(35.55, -77.53333)"
Warburton Range,24212,Valid,"Iron, IVB",56930,Found,1963,-26.283330,126.666670,"(-26.28333, 126.66667)"
Gladstone (stone),10921,Valid,H4,57300,Found,1936,36.300000,-104.000000,"(36.3, -104.0)"
Miami,16630,Valid,H5,57700,Found,1930,35.666670,-100.600000,"(35.66667, -100.6)"
Phillips County (stone),18808,Valid,L6,57900,Fell,1901,40.000000,-99.250000,"(40.0, -99.25)"
Julesburg,12208,Valid,L3.6,57900,Found,1983,39.975000,-102.266670,"(39.975, -102.26667)"
Ivanpah,12062,Valid,"Iron, IIIAB",58000,Found,1880,35.333330,-115.316670,"(35.33333, -115.31667)"
Aliskerovo,472,Valid,"Iron, IIIE-an",58400,Found,1977,67.883330,167.500000,"(67.88333, 167.5)"
Guadalupe y Calvo,11431,Valid,"Iron, IIAB",58630,Found,1971,26.100000,-106.966670,"(26.1, -106.96667)"
Łowicz,14718,Valid,Mesosiderite-A3,59000,Fell,1935,52.000000,19.916670,"(52.0, 19.91667)"
Bohumilitz,5099,Valid,"Iron, IAB-MG",59000,Found,1829,49.050000,13.766670,"(49.05, 13.76667)"
Piedade do Bagre,18817,Valid,"Iron, ungrouped",59000,Found,1922,-18.941670,-44.983330,"(-18.94167, -44.98333)"
Quijingue,22362,Valid,"Pallasite, PMG",59000,Found,1984,-10.750000,-39.216670,"(-10.75, -39.21667)"
Derrick Peak A78008,6684,Valid,"Iron, IIAB",59400,Found,1978,-80.066670,156.383330,"(-80.06667, 156.38333)"
Hex River Mountains,11880,Valid,"Iron, IIAB",60000,Found,1882,-33.316670,19.616670,"(-33.31667, 19.61667)"
Nicolás Levalle,52413,Valid,L5,60000,Found,1956,-38.850280,-62.878890,"(-38.85028, -62.87889)"
Savannah,23189,Valid,"Iron, IIIAB",60000,Found,1923,35.166670,-88.183330,"(35.16667, -88.18333)"
Yongning,30365,Valid,"Iron, IAB-ung",60000,Found,1971,22.750000,108.333330,"(22.75, 108.33333)"
Covert,5456,Valid,H5,61000,Found,1896,39.200000,-98.783330,"(39.2, -98.78333)"
Gold Basin,10940,Valid,L4,61000,Found,1995,35.875000,-114.233330,"(35.875, -114.23333)"
Thunda,23978,Valid,"Iron, IIIAB",62100,Found,1881,-25.700000,143.050000,"(-25.7, 143.05)"
Tanezrouft 072,31333,Valid,H6,62285,Found,2002,24.438170,0.103000,"(24.43817, 0.103)"
Treysa,24050,Valid,"Iron, IIIAB-an",63000,Fell,1916,50.916670,9.183330,"(50.91667, 9.18333)"
Derrick Peak 88017,6668,Valid,"Iron, IIAB",63000,Found,1988,-80.066670,156.383330,"(-80.06667, 156.38333)"
Santa Clara,23163,Valid,"Iron, IVB",63000,Found,1976,24.466670,-103.350000,"(24.46667, -103.35)"
Signal Mountain,23592,Valid,"Iron, IVA",63500,Found,1919,32.500000,-115.500000,"(32.5, -115.5)"
Bocaiuva,5092,Valid,"Iron, ungrouped",64000,Found,1965,-17.166670,-43.833330,"(-17.16667, -43.83333)"
Sychevka,23772,Valid,"Iron, IIIAB",65000,Found,1988,51.125000,127.495000,"(51.125, 127.495)"
Timochin,24004,Valid,H5,65500,Fell,1807,54.500000,35.200000,"(54.5, 35.2)"
Pervomaisky,18798,Valid,L6,66000,Fell,1933,56.633330,39.433330,"(56.63333, 39.43333)"
Rahimyar Khan,31302,Valid,L5,67225,Fell,1983,28.225000,70.200000,"(28.225, 70.2)"
Springwater,23692,Valid,"Pallasite, PMG-an",67600,Found,1931,52.000000,-108.300000,"(52.0, -108.3)"
Burlington,5172,Valid,"Iron, IIIE",68000,Found,1819,42.750000,-75.183330,"(42.75, -75.18333)"
Hamilton (Queensland),11483,Valid,L6,68000,Found,1966,-28.483330,148.250000,"(-28.48333, 148.25)"
Marlow,15428,Valid,L5,68000,Found,1936,34.600000,-97.916670,"(34.6, -97.91667)"
Soledade,23662,Valid,"Iron, IAB-MG",68000,Found,1986,-29.050000,-51.433330,"(-29.05, -51.43333)"
Wu-chu-mu-ch'in,24341,Valid,"Iron, IAB-ung",68860,Found,1920,45.500000,118.000000,"(45.5, 118.0)"
Xinyi,24347,Valid,H5,69000,Found,1975,34.366670,118.333330,"(34.36667, 118.33333)"
Landes,12457,Valid,"Iron, IAB-MG",69800,Found,1930,38.900000,-79.183330,"(38.9, -79.18333)"
Smithonia,23651,Valid,"Iron, IIAB",69900,Found,1940,34.000000,-83.166670,"(34.0, -83.16667)"
Peña Blanca Spring,18786,Valid,Aubrite,70000,Fell,1946,30.125000,-103.116670,"(30.125, -103.11667)"
Lahmada 009,12422,Valid,H3-6,70000,Found,1999,27.166670,-9.500000,"(27.16667, -9.5)"
Mahadevpur,47361,Valid,H4/5,70500,Fell,2007,27.666670,95.783330,"(27.66667, 95.78333)"
Smithville,23654,Valid,"Iron, IAB-MG",70500,Found,1840,35.983330,-85.850000,"(35.98333, -85.85)"
Tlacotepec,24013,Valid,"Iron, IVB",71000,Found,1903,18.650000,-97.550000,"(18.65, -97.55)"
Wooramel,24335,Valid,L5,71000,Found,1969,-25.650000,114.216670,"(-25.65, 114.21667)"
Sierra Colorada,23588,Valid,L5,71300,Found,1995,-40.800000,-67.483330,"(-40.8, -67.48333)"
Merua,15492,Valid,H5,71400,Fell,1920,25.483330,81.983330,"(25.48333, 81.98333)"
Portales Valley,18874,Valid,H6,71400,Fell,1998,34.175000,-103.295000,"(34.175, -103.295)"
Mafuta,15384,Valid,"Iron, IID",71500,Found,1984,-16.902500,30.407220,"(-16.9025, 30.40722)"
Isoulane-n-Amahar,12052,Valid,L6,72000,Found,1945,27.129170,8.667220,"(27.12917, 8.66722)"
Uruaçu,24131,Valid,"Iron, IAB-MG",72500,Found,1992,-14.533330,-48.766670,"(-14.53333, -48.76667)"
Uwharrie,24139,Valid,"Iron, IIIAB",72700,Found,1930,35.516670,-79.966670,"(35.51667, -79.96667)"
Nelson County,16942,Valid,"Iron, IIIF",73030,Found,1856,37.750000,-85.500000,"(37.75, -85.5)"
Toufassour,47702,Valid,Mesosiderite,73300,Found,2007,29.652250,-7.749300,"(29.65225, -7.7493)"
Ethiudna,10060,Valid,L4,74318,Found,1977,-32.033330,139.783330,"(-32.03333, 139.78333)"
Hunter,11987,Valid,LL5,74600,Found,1962,36.560000,-97.666670,"(36.56, -97.66667)"
Tilden,23998,Valid,L6,74800,Fell,1927,38.200000,-89.683330,"(38.2, -89.68333)"
Walker County,24204,Valid,"Iron, IIAB",74800,Found,1832,34.000000,-87.166670,"(34.0, -87.16667)"
Wolsey,24328,Valid,"Iron, IAB-MG",74830,Found,1981,44.400000,-98.533330,"(44.4, -98.53333)"
Acme,371,Valid,H5,75000,Found,1947,33.633330,-104.266670,"(33.63333, -104.26667)"
Bayard,4978,Valid,L5,75000,Found,1982,41.816670,-103.366670,"(41.81667, -103.36667)"
Xingyang,24346,Valid,H6,75500,Fell,1977,32.333330,114.316670,"(32.33333, 114.31667)"
Tawallah Valley,23889,Valid,"Iron, IVB",75750,Found,1939,-15.700000,135.666670,"(-15.7, 135.66667)"
Augusta County,4897,Valid,"Iron, IIIAB",76000,Found,1858,38.166670,-79.083330,"(38.16667, -79.08333)"
Northbranch,17010,Valid,H5,76000,Found,1972,39.991670,-98.341670,"(39.99167, -98.34167)"
Yelland Dry Lake,52641,Valid,H4,76000,Found,2007,39.350670,-114.407830,"(39.35067, -114.40783)"
Jiddat al Harasis 230,35549,Valid,L5,77000,Found,2005,19.712700,56.582770,"(19.7127, 56.58277)"
Moorumbunna,16739,Valid,"Iron, IIIAB",77000,Found,1943,-28.916670,136.250000,"(-28.91667, 136.25)"
Parnallee,18108,Valid,LL3.6,77600,Fell,1857,9.233330,78.350000,"(9.23333, 78.35)"
Finmarken,10103,Valid,"Pallasite, PMG",78300,Found,1902,70.000000,24.000000,"(70.0, 24.0)"
Belle Plaine,5004,Valid,L6,78800,Found,1950,37.316670,-97.250000,"(37.31667, -97.25)"
Mrirt,16819,Valid,Iron,79900,Found,1937,33.133330,-5.566670,"(33.13333, -5.56667)"
Kernouve,12284,Valid,H6,80000,Fell,1869,48.116670,-3.083330,"(48.11667, -3.08333)"
Soko-Banja,23661,Valid,LL4,80000,Fell,1877,43.666670,21.866670,"(43.66667, 21.86667)"
Baygorria,4980,Valid,"Iron, IAB complex",80000,Found,1994,-33.000000,-56.000000,"(-33.0, -56.0)"
Unter-Mässing,24124,Valid,"Iron, IIC",80000,Found,1920,49.090280,11.333330,"(49.09028, 11.33333)"
Vera,24161,Valid,L/LL4,80000,Found,1941,-29.916670,-60.283330,"(-29.91667, -60.28333)"
Ainsworth,422,Valid,"Iron, IIAB",80650,Found,1907,42.600000,-99.800000,"(42.6, -99.8)"
Carlton,5277,Valid,"Iron, IAB-sLM",81200,Found,1887,31.916670,-98.033330,"(31.91667, -98.03333)"
Renfrow,22588,Valid,L6,81600,Found,1986,36.986670,-97.555000,"(36.98667, -97.555)"
Gretna,11201,Valid,L5,82000,Found,1912,39.933330,-99.216670,"(39.93333, -99.21667)"
Ness County (1894),16946,Valid,L6,82000,Found,1894,38.500000,-99.600000,"(38.5, -99.6)"
Bruceville,5155,Valid,L6,83000,Found,1998,38.295000,-121.405000,"(38.295, -121.405)"
Gan Gan,10852,Valid,"Iron, IVA",83000,Found,1984,-42.666670,-68.083330,"(-42.66667, -68.08333)"
Kayakent,12268,Valid,"Iron, IIIAB",85000,Fell,1961,39.263330,31.780000,"(39.26333, 31.78)"
Apoala,2317,Valid,"Iron, IIIAB",85000,Found,1889,17.700000,-97.000000,"(17.7, -97.0)"
Juanita de Angeles,12204,Valid,H5,85000,Found,1992,28.416670,-105.083330,"(28.41667, -105.08333)"
Zapaliname,30392,Valid,"Iron, IAB-MG",85000,Found,1998,25.009440,-100.750000,"(25.00944, -100.75)"
Bath Furnace,4975,Valid,L6,86000,Fell,1902,38.250000,-83.750000,"(38.25, -83.75)"
Tulia (a),24066,Valid,H3-4,86000,Found,1917,34.616670,-101.950000,"(34.61667, -101.95)"
Roebourne,22644,Valid,"Iron, IIIAB",86860,Found,1892,-22.333330,118.000000,"(-22.33333, 118.0)"
Wagon Mound,24196,Valid,L6,87500,Found,1932,35.840830,-104.585830,"(35.84083, -104.58583)"
Mills,16687,Valid,H6,88000,Found,1970,36.230000,-104.118890,"(36.23, -104.11889)"
Northwest Africa 6727,53763,Valid,L5,88000,Found,2006,0.000000,0.000000,"(0.0, 0.0)"
San Angelo,23117,Valid,"Iron, IIIAB",88000,Found,1897,31.416670,-100.350000,"(31.41667, -100.35)"
Bennett County,5022,Valid,"Iron, IIAB",89000,Found,1934,43.500000,-101.250000,"(43.5, -101.25)"
Farmington,10074,Valid,L5,89400,Fell,1890,39.750000,-97.033330,"(39.75, -97.03333)"
Mincy,16694,Valid,Mesosiderite-B4,89400,Found,1857,36.550000,-93.100000,"(36.55, -93.1)"
Richardton,22599,Valid,H5,90000,Fell,1918,46.883330,-102.316670,"(46.88333, -102.31667)"
ad-Dahbubah,376,Valid,H5,90000,Found,1961,19.833330,51.250000,"(19.83333, 51.25)"
Juvinas,12214,Valid,Eucrite-mmict,91000,Fell,1821,44.716670,4.300000,"(44.71667, 4.3)"
Laguna Manantiales,12413,Valid,Iron,92000,Found,1945,-48.583330,-67.416670,"(-48.58333, -67.41667)"
Karee Kloof,12259,Valid,"Iron, IAB-sLL",92100,Found,1914,-31.600000,25.800000,"(-31.6, 25.8)"
Jiddat al Harasis 090,12149,Valid,L5,92667.6,Found,2002,19.716780,56.606200,"(19.71678, 56.6062)"
Wiltshire,56143,Valid,H5,92750,Found,,51.149670,-1.810000,"(51.14967, -1.81)"
Watson 001,24221,Valid,"Iron, IIE",93000,Found,1972,-30.500000,131.550000,"(-30.5, 131.55)"
Machinga,15371,Valid,L6,93200,Fell,1981,-15.212220,35.242220,"(-15.21222, 35.24222)"
Concho,5417,Valid,L6,93500,Found,1939,32.000000,-101.500000,"(32.0, -101.5)"
Carver,5284,Valid,"Iron, IIAB",94000,Found,1935,32.000000,-86.000000,"(32.0, -86.0)"
Weekeroo Station,24230,Valid,"Iron, IIE-an",94200,Found,1924,-32.266670,139.866670,"(-32.26667, 139.86667)"
Loreto,14705,Valid,"Iron, IIIAB",94800,Found,1896,26.016670,-111.366670,"(26.01667, -111.36667)"
Zavid,30396,Valid,L6,95000,Fell,1897,44.400000,19.116670,"(44.4, 19.11667)"
Dar al Gani 749,6296,Valid,CO3,95000,Found,1999,27.301670,15.764500,"(27.30167, 15.7645)"
Palmas de Monte Alto,48959,Valid,"Iron, IIIAB",97000,Found,1954,-14.367500,-43.022780,"(-14.3675, -43.02278)"
Steinbach,23722,Valid,"Iron, IVA-an",98000,Found,1724,50.500000,12.500000,"(50.5, 12.5)"
Social Circle,23659,Valid,"Iron, IVA",99300,Found,1927,33.700000,-83.700000,"(33.7, -83.7)"
Chelyabinsk,57165,Valid,LL5,100000,Fell,2013,54.816670,61.116670,"(54.81667, 61.11667)"
Chergach ,47347,Valid,H5,100000,Fell,2007,23.696390,-5.014720,"(23.69639, -5.01472)"
Gujba,11449,Valid,CBa,100000,Fell,1984,11.491670,11.658330,"(11.49167, 11.65833)"
Juancheng,12203,Valid,H5,100000,Fell,1997,35.500000,115.416670,"(35.5, 115.41667)"
Kidairat,12300,Valid,H6,100000,Fell,1983,14.000000,28.000000,"(14.0, 28.0)"
Murchison,16875,Valid,CM2,100000,Fell,1969,-36.616670,145.200000,"(-36.61667, 145.2)"
Paranaiba,18103,Valid,L6,100000,Fell,1956,-19.133330,-51.666670,"(-19.13333, -51.66667)"
Tamdakht,48691,Valid,H5,100000,Fell,2008,31.163330,-7.015000,"(31.16333, -7.015)"
Agoudal,57354,Valid,"Iron, IIAB",100000,Found,2000,31.984570,-5.515280,"(31.98457, -5.51528)"
Anyujskij,2312,Valid,"Iron, IIAB",100000,Found,1981,66.900000,164.200000,"(66.9, 164.2)"
Bou Azarif,53812,Valid,H5,100000,Found,2010,31.156430,-5.152620,"(31.15643, -5.15262)"
Budulan,5161,Valid,Mesosiderite-B4,100000,Found,1962,50.566670,114.900000,"(50.56667, 114.9)"
Cook 007,5427,Valid,H4,100000,Found,1989,-30.616670,130.416670,"(-30.61667, 130.41667)"
Dimitrovgrad,7644,Valid,"Iron, IIIAB",100000,Found,1949,43.046390,22.863890,"(43.04639, 22.86389)"
Faucett,10077,Valid,H5,100000,Found,1966,39.616670,-94.866670,"(39.61667, -94.86667)"
Franconia,10174,Valid,H5,100000,Found,2002,34.716370,-114.221970,"(34.71637, -114.22197)"
Lutschaunig's Stone,14762,Valid,L6,100000,Found,1861,-27.000000,-70.000000,"(-27.0, -70.0)"
Northwest Africa 4502,45481,Valid,CV3,100000,Found,2005,0.000000,0.000000,"(0.0, 0.0)"
Pierceville (iron),18819,Valid,"Iron, IIIAB",100000,Found,1917,37.866670,-100.666670,"(37.86667, -100.66667)"
Retuerta del Bullaque,56577,Valid,"Iron, IAB-MG",100000,Found,1980,39.458890,-4.377500,"(39.45889, -4.3775)"
Zhongxiang,30406,Valid,Iron,100000,Found,1981,31.200000,112.500000,"(31.2, 112.5)"
Sevrukovo,23509,Valid,L5,101000,Fell,1874,50.616670,36.600000,"(50.61667, 36.6)"
Seeläsgen,23474,Valid,"Iron, IAB-MG",102000,Found,1847,52.266670,15.550000,"(52.26667, 15.55)"
Rifle,22605,Valid,"Iron, IAB-MG",102700,Found,1948,38.516670,-107.833330,"(38.51667, -107.83333)"
Udei Station,24101,Valid,"Iron, IAB-ung",103000,Fell,1927,7.950000,8.083330,"(7.95, 8.08333)"
Colby (Wisconsin),5395,Valid,L6,104000,Fell,1917,44.900000,-90.283330,"(44.9, -90.28333)"
Juncal,12211,Valid,"Iron, IIIAB",104000,Found,1866,-26.000000,-69.250000,"(-26.0, -69.25)"
Molong,16716,Valid,"Pallasite, PMG",104000,Found,1912,-33.283330,148.883330,"(-33.28333, 148.88333)"
Chico,5346,Valid,L6,104800,Found,1954,36.500000,-104.200000,"(36.5, -104.2)"
Cook 001,5421,Valid,H5,105000,Found,1989,-30.333330,130.533330,"(-30.33333, 130.53333)"
Faith,10071,Valid,H5,105000,Found,1952,45.333330,-102.083330,"(45.33333, -102.08333)"
Abee,6,Valid,EH4,107000,Fell,1952,54.216670,-113.000000,"(54.21667, -113.0)"
Elbogen,7823,Valid,"Iron, IID",107000,Fell,1399,50.183330,12.733330,"(50.18333, 12.73333)"
Zhovtnevyi,30407,Valid,H6,107000,Fell,1938,47.583330,37.250000,"(47.58333, 37.25)"
Tiberrhamine,23985,Valid,L6,107000,Found,1967,28.116670,0.533330,"(28.11667, 0.53333)"
Lenarto,12763,Valid,"Iron, IIIAB",108500,Found,1814,49.000000,21.000000,"(49.0, 21.0)"
Mount Tazerzait,16804,Valid,L5,110000,Fell,1991,18.700000,4.800000,"(18.7, 4.8)"
Sulagiri,48951,Valid,LL6,110000,Fell,2008,12.666670,78.033330,"(12.66667, 78.03333)"
Lewis Cliff 85320,12790,Valid,H5,110224,Found,1985,-84.262230,161.416280,"(-84.26223, 161.41628)"
Etosha,10061,Valid,"Iron, IC",110700,Found,1970,-18.500000,16.000000,"(-18.5, 16.0)"
Florey,10112,Valid,H6,110800,Found,1978,32.522500,-102.705000,"(32.5225, -102.705)"
Oakley (iron),17972,Valid,"Iron, IIIF",111000,Found,1926,42.333330,-113.700000,"(42.33333, -113.7)"
Gundaring,11452,Valid,"Iron, IIIAB",112500,Found,1937,-33.300000,117.666670,"(-33.3, 117.66667)"
Buenaventura,5162,Valid,"Iron, IIIAB",113600,Found,1969,29.800000,-107.550000,"(29.8, -107.55)"
Caperr,5263,Valid,"Iron, IIIAB",113900,Found,1869,-45.283330,-70.483330,"(-45.28333, -70.48333)"
Tafassasset,23779,Valid,CR-an,114000,Found,2000,20.763330,10.441670,"(20.76333, 10.44167)"
Cleveland,5379,Valid,"Iron, IIIAB",115000,Found,1860,34.883330,-84.783330,"(34.88333, -84.78333)"
Northwest Africa 6947,54510,Valid,H5,115777,Found,2011,0.000000,0.000000,"(0.0, 0.0)"
Para de Minas,18099,Valid,"Iron, IVA",116300,Found,1934,-19.866670,-44.616670,"(-19.86667, -44.61667)"
Bencubbin,5014,Valid,CBa,118000,Found,1930,-30.750000,117.783330,"(-30.75, 117.78333)"
Scurry,23468,Valid,H5,118000,Found,1937,32.500000,-101.000000,"(32.5, -101.0)"
Duketon,7740,Valid,"Iron, IIIAB",118300,Found,1948,-27.500000,122.366670,"(-27.5, 122.36667)"
Youanmi,30373,Valid,"Iron, IIIAB",118400,Found,1917,-29.500000,118.750000,"(-29.5, 118.75)"
Santiago Papasquiero,23169,Valid,"Iron, ungrouped",119500,Found,1958,24.500000,-106.000000,"(24.5, -106.0)"
Bur-Gheluai,5169,Valid,H5,120000,Fell,1919,5.000000,48.000000,"(5.0, 48.0)"
Jiddat al Harasis 091,12150,Valid,L5,123374,Found,2002,19.693620,56.654320,"(19.69362, 56.65432)"
Dhofar 005,6704,Valid,L6,125500,Found,2000,18.166670,54.166670,"(18.16667, 54.16667)"
Ensisheim,10039,Valid,LL6,127000,Fell,1491,47.866670,7.350000,"(47.86667, 7.35)"
Carthage,5282,Valid,"Iron, IIIAB",127000,Found,1840,36.266670,-85.983330,"(36.26667, -85.98333)"
Ozona,18066,Valid,H6,127500,Found,1929,30.733330,-101.300000,"(30.73333, -101.3)"
Chebankol,5335,Valid,"Iron, IAB-sHL",127760,Found,1938,53.666670,88.000000,"(53.66667, 88.0)"
Dong Ujimqin Qi,7706,Valid,Mesosiderite,128800,Fell,1995,45.500000,119.033330,"(45.5, 119.03333)"
Araslanovo,2324,Valid,L/LL5,132000,Found,1973,55.141670,48.200000,"(55.14167, 48.2)"
Karavannoe,56567,Valid,"Pallasite, PES",132000,Found,,57.781170,47.679670,"(57.78117, 47.67967)"
Yenberrie,30361,Valid,"Iron, IAB-MG",132000,Found,1918,-14.250000,132.016670,"(-14.25, 132.01667)"
Carnegie,5278,Valid,L6,132700,Found,1963,35.166670,-98.643890,"(35.16667, -98.64389)"
Colomera,5404,Valid,"Iron, IIE",134000,Found,1912,37.433330,-3.650000,"(37.43333, -3.65)"
Kesen,12286,Valid,H4,135000,Fell,1850,38.983330,141.616670,"(38.98333, 141.61667)"
Babb's Mill (Blake's Iron),4915,Valid,"Iron, ungrouped",136000,Found,1876,36.300000,-82.883330,"(36.3, -82.88333)"
Cape of Good Hope,5261,Valid,"Iron, IVB",136000,Found,1793,-33.500000,26.000000,"(-33.5, 26.0)"
Derrick Peak A78009,6685,Valid,"Iron, IIAB",138100,Found,1978,-80.066670,156.383330,"(-80.06667, 156.38333)"
Brainard,5131,Valid,"Iron, IIIAB",138300,Found,1978,41.153330,-96.955000,"(41.15333, -96.955)"
Huizopa,11985,Valid,"Iron, IVA",140000,Found,1907,28.900000,-108.566670,"(28.9, -108.56667)"
Ider,11999,Valid,"Iron, IIIAB",140000,Found,1957,34.683330,-85.650000,"(34.68333, -85.65)"
Korra Korrabes,12347,Valid,H3,140000,Found,1996,-25.200000,18.083330,"(-25.2, 18.08333)"
Selma,23486,Valid,H4,140600,Found,1906,32.400000,-87.000000,"(32.4, -87.0)"
Ysleta,30375,Valid,"Iron, ungrouped",140700,Found,1914,31.650000,-106.183330,"(31.65, -106.18333)"
Tambo Quemado,23797,Valid,"Iron, IIIAB",141000,Found,1950,-14.666670,-74.500000,"(-14.66667, -74.5)"
El Sampal,7817,Valid,"Iron, IIIAB",142000,Found,1973,-44.533330,-70.366670,"(-44.53333, -70.36667)"
Keyes,12287,Valid,L6,142000,Found,1939,36.716670,-102.500000,"(36.71667, -102.5)"
Molina,16715,Valid,H5,144000,Fell,1858,38.116670,-1.166670,"(38.11667, -1.16667)"
Wichita County,24257,Valid,"Iron, IAB-MG",145000,Found,1836,34.066670,-98.916670,"(34.06667, -98.91667)"
Gilgoin,10915,Valid,H5,147000,Found,1889,-30.383330,147.200000,"(-30.38333, 147.2)"
Camp Wood,51830,Valid,"Iron, IIIAB",148000,Found,,29.772500,-99.875000,"(29.7725, -99.875)"
